,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,115096,115096,0,9692,115010,12561,351,1108,129030
1,AR,353324,353324,7414,42594,353324,81766,241,1520,436851
2,AZ & NM,10240,10240,0,9705,10240,73641,2651,1799,88331
3,CA,16220,16220,211,10429,16220,64859,3029,3365,87473
4,GA,158228,157866,0,47141,157296,98875,5997,2832,265000
5,KS & OK,37257,37257,0,90,37257,4719,524,833,43333
6,LA,114692,114692,14778,2112,114690,3202,134,1270,119296
7,MO,55839,55839,0,4987,55839,16398,47,208,72492
8,MS,249205,249205,16224,41874,249204,58268,1404,3118,311994
9,NC & VA,57113,57027,0,64417,57112,95936,3243,2445,158736
10,SC,11335,11331,0,16022,11331,20793,286,526,32936
11,TN,227332,226532,34653,81817,226532,152262,1602,1841,382237
12,TX,1286371,1252075,201995,233531,1062275,325505,19030,38736,1445546
13,--TOTAL,2692252,2656704,275275,564411,2466330,1008785,38539,59601,3573255
