,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,23211,27758,87260,709,546,666,89181
1,AR,1735772,1582512,318974,89101,448262,1533,1069,781,451645
2,AZ & NM,339115,331915,122294,10000,161096,3950,2547,493,168086
3,CA,285457,285457,98789,6402,125963,4033,2745,1212,133953
4,GA,2874283,1949409,106402,163251,418014,10012,1256,1815,431097
5,KS & OK,541150,425132,5258,26355,52120,648,831,440,54039
6,LA,379254,379254,25109,12164,40967,299,825,549,42640
7,MO,388113,388113,66531,15868,87073,67,159,250,87549
8,MS,1410836,1104908,258407,119375,437380,6786,2381,904,447451
9,NC & VA,1262904,1002859,99519,92620,406886,4449,1712,1047,414094
10,SC,362580,321249,44710,31040,97167,382,194,333,98076
11,TN,1808593,1410500,304516,164217,617111,3181,768,2640,623700
12,TX,5536942,4025555,269198,152011,938875,23765,19799,21684,1004123
13,--TOTAL,17645842,13913009,1742918,910162,3918174,59814,34832,32814,4045634
