,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720043,705962,36465,85482,207093,831,626,682,209232
1,AR,1707953,1582512,402625,172325,721028,1571,1073,781,724453
2,AZ & NM,334574,330355,130313,22846,199146,4626,2598,539,206909
3,CA,285457,285457,118259,2863,150575,4244,2751,1212,158782
4,GA,2683697,1949408,86930,450675,806713,10502,1428,1864,820507
5,KS & OK,535536,425132,13160,88763,185110,782,833,440,187165
6,LA,379254,379254,43463,19010,81122,387,858,549,82916
7,MO,388113,388113,91260,25288,148167,69,247,250,148733
8,MS,1275186,1104908,273992,178416,582170,7867,2541,905,593483
9,NC & VA,1198273,1002428,88290,144660,569180,6682,2125,1047,579034
10,SC,343139,321194,38055,59267,142088,593,199,370,143250
11,TN,1702049,1410498,577334,122230,900623,3977,868,2632,908100
12,TX,5213051,4023854,326852,409410,1385769,27410,20361,21741,1455281
13,--TOTAL,16766325,13909075,2226998,1781235,6078784,69541,36508,33012,6217845
