,Region,2021,2022,2023,2024,2025
0,AL & FL,132843,304681,270481,307827,221242
1,AR,462880,549886,644420,783225,642454
2,AZ & NM,40072,40724,32315,32284,18694
3,CA,79106,84103,34378,59279,66035
4,GA,390587,815170,464374,427699,410059
5,KS & OK,152740,78665,92577,107080,102875
6,LA,161177,327803,216896,276005,170604
7,MO,100257,157757,155137,190393,124499
8,MS,393791,689652,618708,721912,469907
9,NC & VA,297066,414809,258731,245400,218025
10,SC,83834,117228,65435,84672,39320
11,TN,380209,516383,610944,698606,443633
12,TX,2538444,1525867,1410879,1988014,1875061
