,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,626436,599839,9648,61111,158197,905,306,1062,160470
1,AR,1338646,1240091,97743,297902,590698,4211,151,1236,596296
2,AZ & NM,276273,271867,102640,35015,166735,7482,1641,1666,177524
3,CA,304939,304939,110795,16744,151381,23634,2798,1066,178879
4,GA,2565914,1798901,26402,305635,551980,20986,4096,2655,579717
5,KS & OK,825597,759358,69261,166968,326683,456,127,239,327505
6,LA,264630,264278,5596,25893,46398,274,105,542,47319
7,MO,320299,320299,48373,45472,130545,437,24,129,131135
8,MS,1005561,699823,40007,175244,418568,1658,380,1462,422068
9,NC & VA,1074180,835971,24600,101026,362035,6904,2522,1892,373353
10,SC,293682,274169,3391,64679,119743,575,165,451,120934
11,TN,1027449,850589,178321,208032,547451,9455,1618,1692,560216
12,TX,6929474,5208086,374938,676517,2164022,76066,16333,30474,2286895
13,--TOTAL,16853080,13428210,1091715,2180238,5734436,153043,30266,44566,5962311
