,Region,2021,2022,2023,2024,2025
0,AL & FL,692933,869422,756052,716961,607982
1,AR,1227421,1421398,1214941,1670011,1319443
2,AZ & NM,386041,381714,294800,331257,270106
3,CA,276743,323477,203807,285359,304734
4,GA,2828836,3348296,2531935,2500227,2346522
5,KS & OK,827212,451435,390598,503602,744976
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1094469,1262021,967890,1202488,892436
9,NC & VA,1017985,1302558,1039844,1140514,977307
10,SC,400945,440024,322388,333106,290123
11,TN,1148497,1471904,1434660,1639131,966045
12,TX,8388649,3514201,3197044,4978522,6234863
