,Region,2021,2022,2023,2024,2025
0,AL & FL,674120,857531,742604,706265,606399
1,AR,1198928,1360415,1157861,1629526,1291398
2,AZ & NM,358010,354258,278424,311792,244251
3,CA,274044,319695,203235,281935,286371
4,GA,2656403,3195322,2407486,2301106,2120869
5,KS & OK,781230,425267,389642,478643,662256
6,LA,255930,412671,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1038331,1255451,936914,1165153,830186
9,NC & VA,972906,1255485,953907,1052455,903863
10,SC,396999,438789,315606,324077,278953
11,TN,1128740,1397066,1371139,1528296,893505
12,TX,8043113,3411675,3085571,4659850,5880344
