,Region,2021,2022,2023,2024,2025
0,AL & FL,565110,729079,672007,640663,547172
1,AR,1083070,1139984,1091234,1380727,1195494
2,AZ & NM,200473,181222,170010,158471,120277
3,CA,232434,258459,176274,213529,198457
4,GA,1820302,2422403,1783404,1614934,1500384
5,KS & OK,499458,308604,323066,362011,388513
6,LA,255536,397596,244297,376081,264029
7,MO,264379,342447,343706,357714,282955
8,MS,915749,1231157,926129,1124683,717316
9,NC & VA,875098,1087512,854443,884831,765302
10,SC,286747,322413,250549,264047,212823
11,TN,996258,1195482,1201317,1357689,770743
12,TX,5965402,2900569,2832260,3754727,4239228
