,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,24624,44969,112382,713,626,674,114395
1,AR,1732392,1582512,339924,149222,538910,1537,1069,781,542297
2,AZ & NM,337407,331915,125947,12147,171687,3950,2547,493,178677
3,CA,285457,285457,106804,3689,133010,4203,2751,1212,141176
4,GA,2838257,1949408,107848,223448,501771,10118,1270,1815,514974
5,KS & OK,540974,425132,8565,36111,83733,668,831,440,85672
6,LA,379254,379254,29690,17599,55473,387,825,549,57234
7,MO,388113,388113,70535,23974,101847,67,159,250,102323
8,MS,1386443,1104908,265321,168297,502447,7574,2381,904,513306
9,NC & VA,1247875,1002773,96437,114483,452140,5236,1713,1047,460136
10,SC,360389,321234,46624,38521,109790,549,199,335,110873
11,TN,1761899,1410500,334859,203685,693606,3652,869,2632,700759
12,TX,5470415,4025555,287861,194996,1033478,25049,19946,21691,1100164
13,--TOTAL,17449718,13912907,1845039,1231141,4490274,63703,35186,32823,4621986
