,Region,2021,2022,2023,2024,2025
0,AL & FL,23266,138839,108099,145620,112409
1,AR,191115,286575,376758,484218,345897
2,AZ & NM,13937,23083,17036,22715,10240
3,CA,25294,21875,4894,15216,15020
4,GA,92802,294903,132405,128039,152949
5,KS & OK,51054,24721,26131,39991,36634
6,LA,60193,217754,173735,188799,114370
7,MO,35062,80577,79292,106335,54307
8,MS,126734,401156,350674,455826,249205
9,NC & VA,91212,165065,50224,38637,52577
10,SC,23767,47896,13573,24184,11335
11,TN,126940,252208,312352,386322,222891
12,TX,1464184,1263974,1143337,1435803,1272549
