,Region,2021,2022,2023,2024,2025
0,AL & FL,728245,890208,777548,720843,626436
1,AR,1264394,1476825,1267026,1731852,1344553
2,AZ & NM,390229,394725,301378,336203,276543
3,CA,276933,323517,204697,285457,304939
4,GA,3130872,3551697,2727176,2822409,2587982
5,KS & OK,830571,488653,406675,540974,828660
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1183177,1334696,1065351,1376075,1017702
9,NC & VA,1090246,1376022,1133945,1244513,1079675
10,SC,427809,455866,337737,358905,294689
11,TN,1184833,1533703,1583033,1747028,1055351
12,TX,8818577,3687968,3528120,5446349,7079895
