,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,717226,705962,75633,148853,319929,1148,626,717,322420
1,AR,1673086,1582512,539538,283462,909191,2063,1108,832,913194
2,AZ & NM,331570,327436,139663,38112,223248,4771,2730,553,231302
3,CA,285393,285393,142107,10167,175600,4920,2795,1249,184564
4,GA,2506180,1949174,158779,597249,1148816,11875,1509,2081,1164281
5,KS & OK,504306,425128,22302,87520,249268,795,833,446,251342
6,LA,379254,379254,59492,38700,119744,586,906,551,121787
7,MO,388113,388113,125471,58509,195376,69,247,250,195942
8,MS,1203866,1104889,382240,159620,655435,7780,2547,905,666667
9,NC & VA,1143721,993793,176313,163056,688209,7439,2360,1047,699055
10,SC,333277,320402,48650,80337,186861,685,199,370,188115
11,TN,1642393,1410460,707789,221374,1063858,4044,880,2607,1071389
12,TX,4987260,4023562,371238,631214,1810750,33329,21581,21750,1887410
13,--TOTAL,16095645,13896078,2949215,2518173,7746285,79504,38321,33358,7897468
