,Region,2021,2022,2023,2024,2025
0,AL & FL,687938,865966,747691,716610,607982
1,AR,1219353,1408327,1198772,1656663,1319173
2,AZ & NM,382944,378169,291949,330257,268709
3,CA,276472,322925,203807,285359,304367
4,GA,2774498,3321089,2497655,2445782,2304907
5,KS & OK,815413,439831,390548,497883,729899
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1083640,1259295,949194,1193702,884960
9,NC & VA,998479,1288827,1013590,1126045,958567
10,SC,398481,439847,321073,330753,288989
11,TN,1144610,1460014,1420980,1616693,956123
12,TX,8315847,3496211,3158971,4909805,6186132
