,Region,2021,2022,2023,2024,2025
0,AL & FL,673324,855869,742604,706087,606399
1,AR,1194630,1355845,1155759,1627857,1291398
2,AZ & NM,353685,346011,277713,311295,244251
3,CA,274044,319444,202878,281782,286371
4,GA,2643794,3179326,2395402,2286195,2120869
5,KS & OK,770372,424400,389642,477702,662222
6,LA,255930,412583,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1032661,1255106,933520,1164624,830186
9,NC & VA,970575,1250291,951056,1044891,903863
10,SC,396500,438129,315342,324077,278953
11,TN,1123629,1387951,1368072,1522441,893505
12,TX,7994136,3404176,3080880,4642379,5875665
