,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,623705,599839,9718,87861,192271,1578,307,1063,195219
1,AR,1338556,1240091,125950,310571,678651,4834,161,1244,684890
2,AZ & NM,276273,271867,106705,37895,178620,7568,1641,1666,189495
3,CA,304939,304939,122099,13974,171465,24913,2798,1066,200242
4,GA,2506524,1798901,24984,400566,668129,22823,4873,2658,698483
5,KS & OK,809277,750806,68238,158687,344765,549,127,239,345680
6,LA,264630,264278,5596,34804,60949,285,106,542,61882
7,MO,320299,320299,50922,48940,144856,457,31,135,145479
8,MS,971280,699823,53671,162298,443226,2061,370,1740,447397
9,NC & VA,1063946,835971,25607,121760,402194,7355,2595,1899,414043
10,SC,293419,274169,3507,65682,137532,1173,166,451,139322
11,TN,1009891,850535,183157,221530,610643,9617,1611,1697,623568
12,TX,6716328,5208081,452067,811446,2453515,82234,16631,31818,2584198
13,--TOTAL,16499067,13419599,1232221,2476014,6486816,165447,31417,46218,6729898
