,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,888976,775790,720219,626436
1,AR,1261758,1473022,1263580,1725447,1338556
2,AZ & NM,390213,393245,301378,336134,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3095748,3503775,2696735,2750914,2557283
5,KS & OK,830570,481279,406325,539669,824588
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1177052,1314026,1039360,1333574,1000505
9,NC & VA,1081947,1364754,1127150,1226298,1073623
10,SC,423555,452271,336747,348855,293682
11,TN,1180704,1530051,1561680,1717882,1022808
12,TX,8756230,3640790,3468432,5369812,6897194
