,Region,2021,2022,2023,2024,2025
0,AL & FL,679449,862673,743114,714031,607104
1,AR,1209902,1382045,1168666,1636104,1312129
2,AZ & NM,375470,369828,282455,325524,261042
3,CA,275015,320889,203266,284755,296846
4,GA,2707196,3262963,2442121,2349529,2203626
5,KS & OK,799448,429820,390533,487632,687957
6,LA,255930,413815,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1055740,1256935,939845,1170271,858471
9,NC & VA,979471,1271443,965319,1084736,926301
10,SC,397153,439319,316131,325714,285490
11,TN,1139399,1421987,1391161,1562288,931272
12,TX,8175205,3452670,3099464,4739622,6037768
