,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,51579,51579,0,9745,51579,15263,351,1108,68301
1,AR,186133,186133,7414,53892,186133,97027,242,1609,285011
2,AZ & NM,7960,7960,0,10939,7960,75225,3003,1802,87990
3,CA,2733,2733,211,10141,2733,65616,3029,3365,74743
4,GA,85483,85483,0,49582,85121,109237,6527,2833,203718
5,KS & OK,10321,10321,0,88,10321,4896,524,833,16574
6,LA,79568,79568,13940,2731,79567,3821,134,1270,84792
7,MO,19400,19400,0,6235,19400,17781,47,208,37436
8,MS,133652,133652,13030,54448,133652,74641,1375,3118,212786
9,NC & VA,9922,9836,0,80005,9921,114752,3243,2445,130361
10,SC,1677,1673,0,17756,1673,22983,286,526,25468
11,TN,93243,93243,3974,90836,93243,174455,1602,2102,271402
12,TX,1046559,1017568,201995,228605,874723,350697,19035,38737,1283192
13,--TOTAL,1728230,1699149,240564,615003,1556026,1126394,39398,59956,2781774
