,Region,2021,2022,2023,2024,2025
0,AL & FL,678958,862047,743114,712449,606750
1,AR,1208061,1378451,1168666,1634349,1308646
2,AZ & NM,373104,369020,282455,323698,259026
3,CA,274361,320889,203266,284406,296576
4,GA,2693800,3253933,2438742,2340828,2179031
5,KS & OK,797396,428855,389846,483603,684481
6,LA,255930,413727,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1050493,1256582,939845,1168425,848834
9,NC & VA,977894,1269239,965319,1078235,919558
10,SC,397065,439319,316131,324952,283915
11,TN,1137867,1416617,1391161,1549283,927032
12,TX,8155693,3448545,3099464,4721344,5997538
