,Region,2021,2022,2023,2024,2025
0,AL & FL,298468,474302,432007,465288,378617
1,AR,759095,791255,856255,1041734,956702
2,AZ & NM,92633,82710,69333,65120,51658
3,CA,152337,150089,90150,118291,112312
4,GA,880769,1358016,924536,845952,812742
5,KS & OK,279866,155825,178127,185746,206817
6,LA,225137,370473,236319,339479,231306
7,MO,162273,228902,223294,270902,197286
8,MS,673448,965950,814093,947725,639131
9,NC & VA,539020,668735,498424,492213,455483
10,SC,160443,181162,124378,147160,93958
11,TN,674316,769804,886241,1006332,649714
12,TX,3825105,1981900,1986410,2548082,2807483
