,State,Total Issued 2026,Total New Issued 2026,Held by CCC 2026,Under Shipping Order,Open 2026,Open 2025,Open 2024,Open 2023 and earlier,Total Open
0,AL & FL,0,0,0,26191,0,67139,824,1080,69043
1,AR,0,0,0,124815,0,254227,2959,859,258045
2,AZ & NM,0,0,0,8188,0,106396,5329,2502,114227
3,CA,0,0,0,19408,0,76130,17487,2747,96364
4,GA,0,0,0,105374,0,195863,12010,3833,211706
5,KS & OK,0,0,0,22975,0,51373,138,255,51766
6,LA,0,0,0,9593,0,14760,274,647,15681
7,MO,0,0,0,22354,0,64835,430,144,65409
8,MS,0,0,0,118589,0,189739,1380,1346,192465
9,NC & VA,0,0,0,74491,0,188142,3924,3540,195606
10,SC,0,0,0,15685,0,39676,317,609,40602
11,TN,0,0,0,87746,0,303548,7091,1107,311746
12,TX,2327,2327,0,216826,2327,1007358,38826,42607,1091118
13,--TOTAL,2327,2327,0,852235,2327,2559186,90989,61276,2713778
