,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,2542,2542,0,16153,2542,23646,397,1139,27724
1,AR,30149,30149,7414,85655,30149,138815,331,1654,170949
2,AZ & NM,1210,1210,0,23491,1210,99371,3062,2121,105764
3,CA,172,172,172,7110,172,71218,3296,3365,78051
4,GA,2910,2910,0,65537,2910,142398,6336,2861,154505
5,KS & OK,0,0,0,266,0,5531,525,834,6890
6,LA,24490,24490,10505,4486,24490,6501,135,1270,32396
7,MO,0,0,0,11964,0,24875,47,208,25130
8,MS,8198,8198,6595,113933,8198,143521,1438,3118,156275
9,NC & VA,1,1,0,104815,0,157272,3485,2458,163215
10,SC,4,0,0,18647,0,30555,331,527,31413
11,TN,834,834,4270,125566,834,243797,1553,2779,248963
12,TX,728767,711981,208207,266146,649859,473005,19600,40319,1182783
13,--TOTAL,799277,782487,237163,843769,720364,1560505,40536,62653,2384058
