,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,0,0,0,22009,0,34863,561,1167,36591
1,AR,0,0,0,80576,0,188773,392,1663,190828
2,AZ & NM,0,0,0,14485,0,117279,3064,2122,122465
3,CA,0,0,0,5598,0,80850,3311,3517,87678
4,GA,0,0,79,101077,0,193004,6385,2879,202268
5,KS & OK,0,0,0,638,0,7119,525,834,8478
6,LA,0,0,0,5131,0,9409,135,1270,10814
7,MO,0,0,0,10590,0,36529,49,383,36961
8,MS,0,0,0,146295,0,208673,1649,3129,213451
9,NC & VA,0,0,0,130306,0,208475,3564,2726,214765
10,SC,4,0,0,17505,4,38044,345,525,38918
11,TN,34,34,9958,116572,34,322318,1782,2856,326990
12,TX,392713,392713,117514,150818,388477,567494,20212,40322,1016505
13,--TOTAL,392751,392747,127551,801600,388515,2012830,41974,63393,2506712
