,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,581578,579041,176062,118990,503394,3537,315,1103,508349
1,AR,1241415,1226705,1013052,98230,1122097,15112,163,1510,1138882
2,AZ & NM,170235,170235,99387,18116,166270,29637,2259,1668,199834
3,CA,245166,245166,187712,9731,230098,36772,3029,3365,273264
4,GA,1802615,1710107,402411,429714,1606433,39589,5083,2833,1653938
5,KS & OK,505001,501340,83412,72461,432512,1715,160,523,434910
6,LA,264248,264248,154046,40006,206946,803,114,1270,209133
7,MO,314403,314403,255909,20555,289214,2097,37,199,291547
8,MS,758331,699796,522682,93463,630845,9467,373,3024,643709
9,NC & VA,826081,809492,210758,139769,724019,23195,2913,2149,752276
10,SC,256041,253570,149639,23610,240683,2745,196,524,244148
11,TN,821425,799185,666883,50832,741380,28360,1403,1782,772925
12,TX,5003565,4732432,1735093,512971,3878887,168380,18113,38194,4103574
13,--TOTAL,12790104,12305720,5657046,1628448,10772778,361409,34158,58144,11226489
