,Region,2021,2022,2023,2024,2025
0,AL & FL,668649,842297,741289,698059,601674
1,AR,1179869,1320644,1141140,1613968,1263773
2,AZ & NM,327224,307196,267337,282874,227636
3,CA,271244,311415,200844,275743,271962
4,GA,2557417,3089121,2320570,2171475,2022099
5,KS & OK,738815,420572,385663,468448,612865
6,LA,255924,405205,244549,379220,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1013635,1252867,931399,1157494,796379
9,NC & VA,957645,1228815,945457,1014359,877583
10,SC,391416,434188,315021,319347,278689
11,TN,1103927,1356674,1321492,1478612,853965
12,TX,7747100,3352424,3062166,4483188,5582217
