,Region,2021,2022,2023,2024,2025
0,AL & FL,203549,394360,353343,383701,285177
1,AR,600734,665531,758838,908025,789649
2,AZ & NM,59880,64345,48122,47312,29494
3,CA,114329,118952,58452,84536,85746
4,GA,614455,1081479,689106,629672,571961
5,KS & OK,208235,112672,132220,148712,143140
6,LA,195815,352519,228096,309609,200826
7,MO,132661,193044,190783,232552,156304
8,MS,524673,842691,736970,838742,556845
9,NC & VA,409575,539530,381861,364478,319909
10,SC,117330,149250,98647,115332,56596
11,TN,509767,640659,743853,849388,542976
12,TX,3104550,1716332,1676580,2228763,2288261
