,Region,2021,2022,2023,2024,2025
0,AL & FL,729122,890384,777548,720843,626436
1,AR,1265090,1491166,1267096,1732548,1348739
2,AZ & NM,390822,394725,301824,338987,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3154843,3575428,2740953,2849759,2598106
5,KS & OK,830571,492342,406675,540974,831650
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1184333,1353283,1077613,1392232,1026368
9,NC & VA,1095902,1378232,1136298,1251910,1081728
10,SC,430943,458323,337992,361256,294777
11,TN,1188344,1539795,1594293,1778855,1072840
12,TX,8845321,3722369,3565031,5481385,7191429
