,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,715000,705498,107337,153785,390218,1424,626,717,392985
1,AR,1644249,1582512,802835,157054,1016309,2460,2153,832,1021754
2,AZ & NM,328167,324033,138670,46835,236681,5068,3388,563,245700
3,CA,284928,284928,164479,9013,196549,5700,3185,1252,206686
4,GA,2386675,1948707,333125,615812,1382325,12828,1578,2083,1398814
5,KS & OK,494793,425125,92984,78152,294678,1362,833,446,297319
6,LA,379254,379254,118905,26012,151368,589,906,551,153414
7,MO,388113,388113,192623,27285,230998,69,247,250,231564
8,MS,1183743,1103804,610467,89979,724120,8604,2728,905,736357
9,NC & VA,1102380,987876,291038,152435,756213,8277,2632,1050,768172
10,SC,327789,319997,128075,47608,213502,777,199,392,214870
11,TN,1581506,1394107,897988,124176,1125286,4635,880,2607,1133408
12,TX,4809571,4023116,507785,738402,2100107,37902,36209,23721,2197939
13,--TOTAL,15626168,13867070,4386311,2266548,8818354,89695,55564,35369,8998982
