,Region,2021,2022,2023,2024,2025
0,AL & FL,5326,78181,58515.0,88170,64886
1,AR,86663,179682,246607.0,338381,211937
2,AZ & NM,11053,18742,12547.0,18999,8065
3,CA,7360,7533,,2800,4933
4,GA,28591,147100,55467.0,48844,95957
5,KS & OK,17596,7634,5804.0,13649,12894
6,LA,27516,164680,135781.0,137299,84801
7,MO,11926,48127,47309.0,65499,25420
8,MS,33369,283480,217196.0,324382,150665
9,NC & VA,30225,62959,14510.0,8388,14470
10,SC,6134,24333,3920.0,7318,1807
11,TN,43432,142080,180920.0,253178,109482
12,TX,1125414,1190237,1035099.0,1234397,1082432
