,Region,2021,2022,2023,2024,2025
0,AL & FL,687938,865674,745143,716434,607982
1,AR,1219353,1406481,1193641,1653203,1318561
2,AZ & NM,382844,377730,291237,329810,267603
3,CA,276472,322925,203807,285356,304325
4,GA,2774354,3315515,2490077,2427492,2290988
5,KS & OK,815413,439391,390548,497088,721822
6,LA,255930,413991,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1083640,1259119,943940,1190274,881537
9,NC & VA,998045,1286120,1007004,1118663,952362
10,SC,398481,439671,320809,329652,287597
11,TN,1144610,1458137,1418953,1607910,953657
12,TX,8315788,3489809,3151357,4882543,6172036
