,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,112409,112409,0,9692,112323,12561,351,1108,126343
1,AR,345897,345897,7414,42594,345897,81766,241,1520,429424
2,AZ & NM,10240,10240,0,9705,10240,73641,2651,1799,88331
3,CA,15020,15020,211,10429,15020,64859,3029,3365,86273
4,GA,152949,152587,0,47141,152017,98875,5997,2832,259721
5,KS & OK,36634,36634,0,90,36634,4719,524,833,42710
6,LA,114370,114370,14778,2112,114368,3202,134,1270,118974
7,MO,54307,54307,0,4987,54307,16398,47,208,70960
8,MS,249205,249205,16224,41874,249204,58268,1404,3118,311994
9,NC & VA,52577,52491,0,64417,52576,95936,3243,2445,154200
10,SC,11335,11331,0,16022,11331,20793,286,526,32936
11,TN,222891,222091,33642,81817,222091,152262,1602,1841,377796
12,TX,1272549,1238253,201995,233531,1048453,325505,19030,38736,1431724
13,--TOTAL,2650383,2614835,274264,564411,2424461,1008785,38539,59601,3531386
