,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,29674,29674,0,10431,29674,17010,397,1139,48220
1,AR,113618,113618,7414,62502,113618,107560,307,1609,223094
2,AZ & NM,4970,4970,0,19274,4970,83826,3003,1802,93601
3,CA,1172,1172,211,4585,1172,67271,3029,3365,74837
4,GA,54190,54190,0,55823,54190,119058,6504,2847,182599
5,KS & OK,2233,2233,0,0,2233,4896,524,833,8486
6,LA,56640,56640,13940,3517,56639,4785,135,1270,62829
7,MO,5952,5952,0,8876,5952,20582,47,208,26789
8,MS,66713,66713,13030,65173,66713,86057,1348,3118,157236
9,NC & VA,2237,2151,0,92249,2236,130208,3439,2450,138333
10,SC,1178,1174,0,19738,1174,25302,286,526,27288
11,TN,38465,38465,3974,96988,38465,191674,1561,2773,234473
12,TX,948703,921332,201995,261904,800502,392364,19348,39442,1251656
13,--TOTAL,1325745,1298284,240564,701060,1177538,1250593,39928,61382,2529441
