,Region,2021,2022,2023,2024,2025
0,AL & FL,694240,869422,756052,717226,610369
1,AR,1229003,1424311,1214941,1670011,1319960
2,AZ & NM,386478,382643,294800,331257,270606
3,CA,276743,323477,203807,285359,304762
4,GA,2832371,3354545,2531935,2500227,2351335
5,KS & OK,827570,453279,390598,503602,749143
6,LA,255930,414167,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1096511,1262285,967890,1202488,894484
9,NC & VA,1020910,1304146,1039844,1140514,979782
10,SC,401560,440101,322388,333106,290387
11,TN,1148677,1473512,1434660,1639219,967684
12,TX,8399616,3515345,3197044,4978522,6244180
