,Region,2021,2022,2023,2024,2025
0,AL & FL,728068,889416,777548,720219,626436
1,AR,1263162,1474479,1266225,1726967,1338556
2,AZ & NM,390213,394635,301378,336134,276273
3,CA,276920,323517,204697,285457,304939
4,GA,3100305,3517886,2706149,2763808,2558864
5,KS & OK,830570,483558,406325,539757,825248
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1178738,1317614,1040252,1341293,1003540
9,NC & VA,1083021,1366714,1128916,1232833,1073974
10,SC,423723,452970,336917,351129,293682
11,TN,1182404,1531459,1570934,1720564,1024325
12,TX,8769232,3652554,3498420,5387811,6906542
