,Region,2021,2022,2023,2024,2025
0,AL & FL,701052,875735,759937,717226,614973
1,AR,1233808,1433557,1223193,1685614,1324205
2,AZ & NM,388411,387508,295460,332391,272466
3,CA,276752,323516,203899,285393,304939
4,GA,2887010,3378717,2556197,2552031,2392277
5,KS & OK,829675,462835,390598,508969,763954
6,LA,255946,414424,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1110107,1264227,995474,1219334,908521
9,NC & VA,1045082,1323514,1056285,1160744,1004487
10,SC,405749,440620,324366,334916,291169
11,TN,1148914,1480109,1443552,1658475,979172
12,TX,8469427,3538386,3238899,5051761,6337005
