,Region,2021,2022,2023,2024,2025
0,AL & FL,729297,890384,777548,720843,627946
1,AR,1266671,1493901,1267272,1733435,1349099
2,AZ & NM,390822,394725,302184,339115,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3168255,3594954,2748572,2859753,2606772
5,KS & OK,830901,494891,406675,541150,833927
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1185675,1363807,1081118,1401806,1035596
9,NC & VA,1099182,1378837,1136386,1257084,1083512
10,SC,433541,459044,338536,362059,294777
11,TN,1206155,1546785,1606400,1792556,1085182
12,TX,8881378,3732706,3581595,5514747,7253746
