,Region,2021,2022,2023,2024,2025
0,AL & FL,502178,673237,627146,605717,513415
1,AR,1029178,1079624,1062892,1308840,1158793
2,AZ & NM,173649,152511,139539,131655,99088
3,CA,214608,232081,156893,189861,176610
4,GA,1568253,2165610,1580823,1405154,1313837
5,KS & OK,444177,278558,292287,321090,340719
6,LA,253807,396493,244245,371231,260361
7,MO,237876,315221,319673,337156,261025
8,MS,890799,1205393,917933,1102998,695857
9,NC & VA,813997,1002341,791497,804319,703018
10,SC,250403,281351,220552,238914,178003
11,TN,959409,1113358,1156717,1296308,752733
12,TX,5429527,2692482,2693214,3454729,3850396
