,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,719250,705962,72049,108845,252019,831,626,717,254193
1,AR,1694285,1582512,538976,203974,795314,1763,1074,832,798983
2,AZ & NM,333175,328956,135693,27079,207921,4757,2600,552,215830
3,CA,285457,285457,130748,8454,159983,4584,2758,1212,168537
4,GA,2608739,1949408,163633,519627,967926,10723,1432,2070,982151
5,KS & OK,521386,425132,18625,93118,213999,792,833,446,216070
6,LA,379254,379254,58262,21295,93301,534,858,549,95242
7,MO,388113,388113,125383,31871,166693,69,247,250,167259
8,MS,1242836,1104908,387992,134331,610165,7780,2542,905,621392
9,NC & VA,1182210,998533,187914,151272,623708,6982,2314,1047,634051
10,SC,339264,320402,54676,62774,158943,684,199,370,160196
11,TN,1681395,1410498,705149,152639,967574,4051,836,2629,975090
12,TX,5127473,4023762,377493,536397,1573631,30236,20670,21753,1646290
13,--TOTAL,16502837,13902897,2956593,2051676,6791177,73786,36989,33332,6935284
