,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,619386,599839,9719,103302,207511,1578,307,1066,210462
1,AR,1335973,1240091,125805,338022,714839,5194,161,1333,721527
2,AZ & NM,276273,271867,107065,46316,187646,7581,1641,1666,198534
3,CA,304939,304939,130510,10805,179121,25089,2798,2007,209015
4,GA,2480613,1798901,23695,462159,740185,24164,4882,2655,771886
5,KS & OK,798542,742723,67492,175233,368947,651,127,339,370064
6,LA,264630,264278,5596,34717,67475,286,108,978,68847
7,MO,320299,320299,50922,59200,155610,492,33,135,156270
8,MS,954040,699823,54791,167820,455705,2406,366,1828,460305
9,NC & VA,1051577,835443,24330,141697,420299,7819,2602,1993,432713
10,SC,292300,274018,2545,71576,145147,1249,166,451,147013
11,TN,998302,850535,194738,218189,626275,9844,1610,1704,639433
12,TX,6628024,5208081,458999,865292,2569874,86811,16876,31851,2705412
13,--TOTAL,16324898,13410837,1256207,2694328,6838634,173164,31677,48006,7091481
