,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,341502,341502,108495,29937,332139,6994,315,1108,340556
1,AR,886905,886821,679873,48763,880920,45054,205,1520,927699
2,AZ & NM,43555,43555,21428,17505,43555,51404,2488,1758,99205
3,CA,103143,103143,74367,4935,102969,51734,3029,3365,161097
4,GA,703876,700037,165732,82221,692348,67583,5877,2822,768630
5,KS & OK,178351,178351,39242,5998,175969,3577,469,825,180840
6,LA,220307,220307,160799,17069,211375,1897,114,1270,214656
7,MO,181197,181197,131901,10602,180405,9726,37,199,190367
8,MS,611628,610472,508684,27826,601939,25086,386,3029,630440
9,NC & VA,395921,395835,149325,45674,385612,54537,3183,2413,445745
10,SC,72730,72462,45223,11407,72346,12152,254,526,85278
11,TN,619414,612050,459974,73924,609725,83701,1577,1830,696833
12,TX,2571418,2487077,667936,277196,2106037,243864,18798,38693,2407392
13,--TOTAL,6929947,6832809,3212979,653057,6395339,657309,36732,59358,7148738
