,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,413333,413333,128178,40789,400127,6458,315,1108,408008
1,AR,1001850,1001426,822598,47280,988880,36019,205,1520,1026624
2,AZ & NM,58448,58448,28911,15972,58448,46194,2475,1750,108867
3,CA,124792,124792,89903,5987,124618,48949,3029,3365,179961
4,GA,916234,908291,200754,97216,900124,59395,5438,2815,967772
5,KS & OK,234618,234618,49573,7355,230278,2797,469,654,234198
6,LA,238688,238688,173595,19877,225761,1809,114,1270,228954
7,MO,211084,211084,164150,11164,209589,8171,37,199,217996
8,MS,649568,646825,564305,34239,632832,21117,386,3029,657364
9,NC & VA,508764,508678,186034,45955,496088,47300,3112,2413,548913
10,SC,106226,105958,60430,7782,105793,8326,247,526,114892
11,TN,677356,668211,546402,60224,661212,65728,1477,1811,730228
12,TX,3037188,2937525,777438,302217,2498462,236761,18779,38693,2792695
13,--TOTAL,8178149,8057877,3792271,696057,7532212,589024,36083,59153,8216472
