,Region,2021,2022,2023,2024,2025
0,AL & FL,400575,568467,532499,546851,458487
1,AR,904132,925680,977231,1202515,1087219
2,AZ & NM,124187,119769,101030,94279,73246
3,CA,181976,190452,126074,156693,150216
4,GA,1177751,1717769,1241984,1116465,1083938
5,KS & OK,357627,211161,232153,249490,275266
6,LA,242969,386718,243884,357788,252191
7,MO,196024,269710,277313,306034,231856
8,MS,806105,1081790,880432,1051497,670211
9,NC & VA,680909,822515,662383,660199,591317
10,SC,202620,230866,175058,193786,135420
11,TN,826966,930422,1055158,1184127,715352
12,TX,4593585,2318412,2359620,2994115,3350784
