,Region,2021,2022,2023,2024,2025
0,AL & FL,254009,444851,416303,435758,353141
1,AR,681000,757136,838529,1013337,908342
2,AZ & NM,75101,78507,64343,58918,46295
3,CA,136923,143650,79949,105457,105853
4,GA,746240,1268402,864274,790923,735492
5,KS & OK,247727,141603,165156,179880,187446
6,LA,212082,365189,234954,333275,222178
7,MO,151024,219381,217976,259131,184790
8,MS,590341,918125,800107,926244,614905
9,NC & VA,480472,624548,460068,457585,411125
10,SC,140374,170576,119683,140616,80706
11,TN,595503,722750,844014,970538,631028
12,TX,3503320,1885645,1867294,2463849,2640159
