,Region,2021,2022,2023,2024,2025
0,AL & FL,162068,340107,301815,344395,254030
1,AR,522869,588030,677598,852410,724616
2,AZ & NM,50002,49235,35429,38415,25188
3,CA,97740,99263,44368,69307,77000
4,GA,493050,914527,525521,518335,495183
5,KS & OK,177179,93715,100383,127231,125050
6,LA,178358,339698,219468,293018,193835
7,MO,116092,171635,166018,212930,140726
8,MS,456830,728546,649924,784138,526406
9,NC & VA,347851,463698,293233,296557,277734
10,SC,99105,127253,78267,95378,47045
11,TN,437087,565921,647917,767386,507359
12,TX,2798949,1584787,1490849,2087710,2081269
