,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,92819,92819,0,8610,92819,13147,351,1108,107425
1,AR,302161,302161,7414,47482,302161,88593,241,1520,392515
2,AZ & NM,9620,9620,0,10231,9620,74257,2651,1802,88330
3,CA,10159,10159,211,10317,10159,65031,3029,3365,81584
4,GA,125482,125120,0,47941,125120,101725,5997,2832,235674
5,KS & OK,24461,24461,0,179,24461,4808,524,833,30626
6,LA,102437,102437,13940,2202,102436,3292,134,1270,107132
7,MO,44617,44617,0,5429,44617,16840,47,208,61712
8,MS,220187,220187,13031,41991,220186,58838,1404,3118,283546
9,NC & VA,30691,30605,0,70759,30690,103477,3243,2445,139855
10,SC,8034,8030,0,16168,8030,21146,286,526,29988
11,TN,184545,183745,9288,84149,183745,158148,1602,1841,345336
12,TX,1191048,1159089,201995,226787,980587,335276,19031,38737,1373631
13,--TOTAL,2346261,2313050,245879,572245,2134631,1044578,38540,59605,3277354
