,Region,2021,2022,2023,2024,2025
0,AL & FL,671947,851382,742178,701930,604458
1,AR,1188644,1342324,1151128,1620054,1275072
2,AZ & NM,345209,337411,273151,302582,236008
3,CA,271709,317689,202510,279000,282776
4,GA,2620579,3146299,2373157,2241262,2067168
5,KS & OK,759718,423163,389053,472206,643294
6,LA,255924,410919,244549,379254,264454
7,MO,315831,398195,382134,388113,320299
8,MS,1024878,1254246,932010,1160201,813431
9,NC & VA,967206,1244024,948919,1028683,890189
10,SC,396101,436716,315342,322798,278777
11,TN,1119300,1373958,1349993,1501133,870147
12,TX,7912501,3393094,3075497,4561706,5764173
