,State,Total Issued 2024,Total New Issued 2024,Held by CCC 2024,Under Shipping Order,Open 2024,Open 2023,Open 2022,Open 2021 and earlier,Total Open
0,AL & FL,720843,706146,5530,26242,60043,669,502,666,61880
1,AR,1740706,1582512,133292,72789,293648,451,955,753,295807
2,AZ & NM,339115,331915,105840,7391,139698,3923,2546,493,146660
3,CA,285457,285457,74347,7139,100622,3954,2529,1179,108284
4,GA,2904674,1949409,34577,105563,274897,8261,1231,1812,286201
5,KS & OK,541150,425132,2626,2695,18577,572,829,440,20418
6,LA,379254,379254,9537,6587,20311,295,825,549,21980
7,MO,388113,388113,45900,9369,61785,67,138,250,62240
8,MS,1438631,1104908,66401,128187,329330,1389,2314,904,333937
9,NC & VA,1278873,1002859,44319,110129,321534,3842,1722,1048,328146
10,SC,363603,321249,16510,24941,66578,354,194,333,67459
11,TN,1861677,1410500,188287,112917,442703,2223,648,2504,448078
12,TX,5624882,4025555,202484,145410,754188,20798,19449,21496,815931
13,--TOTAL,17866978,13913009,929650,759359,2883914,46798,33882,32427,2997021
