,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607982,599816,26863,134721,302656,1934,307,1066,305963
1,AR,1319443,1240091,129727,280038,873409,7538,162,1501,882610
2,AZ & NM,270106,270106,107335,71641,221170,16522,1642,1666,241000
3,CA,304734,304734,170362,9012,220456,26273,2924,3335,252988
4,GA,2346522,1798297,22142,685882,1133095,28495,4927,2714,1169231
5,KS & OK,744511,704236,60029,161822,428670,910,139,505,430224
6,LA,264630,264278,13370,48703,110495,362,112,1242,112211
7,MO,320299,320299,48755,71855,207383,844,37,198,208462
8,MS,892436,699796,54556,153344,498111,3218,368,2741,504438
9,NC & VA,976589,834739,22113,181461,495629,11239,2622,1995,511485
10,SC,290123,274018,874,61866,189659,1441,166,489,191755
11,TN,966045,850535,252110,156683,708666,13854,1424,1770,725714
12,TX,6231549,5198150,517836,830814,3196942,106485,17509,31944,3352880
13,--TOTAL,15534969,13359095,1426072,2847842,8586341,219115,32339,51166,8888961
