,Region,2021,2022,2023,2024,2025
0,AL & FL,228722,416545,374019,404683,315803
1,AR,640257,702550,782210,958183,842767
2,AZ & NM,65895,70265,54643,50848,38442
3,CA,126289,129770,71103,90831,92141
4,GA,684608,1171261,745810,685853,640401
5,KS & OK,225335,123097,142056,159999,164112
6,LA,205529,358046,229063,321566,213176
7,MO,140709,203477,199400,244573,169420
8,MS,559188,884604,755443,866339,592440
9,NC & VA,441478,578081,406776,401675,362659
10,SC,130069,159911,105622,122896,67867
11,TN,549914,676428,774067,891929,591864
12,TX,3312012,1788606,1734452,2332234,2449585
