,Region,2021,2022,2023,2024,2025
0,AL & FL,557585,718338,664724,640172,546588
1,AR,1070400,1131034,1087192,1378806,1195494
2,AZ & NM,198971,177443,164643,157039,120277
3,CA,231634,255215,171846,213385,198457
4,GA,1781684,2381851,1754639,1604522,1490926
5,KS & OK,491454,303990,317509,361542,385967
6,LA,255505,397544,244297,376081,264029
7,MO,262055,339092,343129,356745,280957
8,MS,910093,1227778,926033,1124683,717316
9,NC & VA,866484,1075704,843485,881495,764982
10,SC,276850,313772,247813,263416,210162
11,TN,993176,1183734,1196472,1355953,770743
12,TX,5887447,2864782,2814685,3738723,4205533
