,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,626690,599839,8905,47233,121435,828,305,1061,123629
1,AR,1349099,1240091,83870,245119,467841,3816,146,1157,472960
2,AZ & NM,277851,271867,99401,19083,141870,7470,1639,1651,152630
3,CA,304939,304939,86767,15695,120921,21600,1984,1062,145567
4,GA,2604960,1798901,29542,230184,409765,16525,2104,2659,431053
5,KS & OK,833312,760011,56260,128992,253846,339,126,239,254550
6,LA,264630,264278,4973,18691,33766,274,105,542,34687
7,MO,320299,320299,44459,42633,111490,432,24,129,112075
8,MS,1031909,699823,30947,192644,344379,1631,380,1110,347500
9,NC & VA,1082892,836142,23607,92021,302579,5641,2481,1874,312575
10,SC,294777,275088,3350,44515,87352,499,164,447,88462
11,TN,1079648,850589,188244,176610,484717,9385,1175,1083,496360
12,TX,7230366,5208121,285105,529188,1855713,65601,15853,29996,1967163
13,--TOTAL,17301372,13429988,945430,1782608,4735674,134041,26486,43010,4939211
