,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,458487,458223,149078,48019,435242,5677,315,1108,442342
1,AR,1087219,1085149,900123,57850,1066597,27967,172,1520,1096256
2,AZ & NM,73246,73246,37552,17485,73246,42489,2429,1717,119881
3,CA,150216,150216,114967,5205,149868,47034,3029,3365,203296
4,GA,1083938,1070296,240034,125727,1053343,55729,5434,2864,1117370
5,KS & OK,275266,275266,38679,8530,267514,2489,469,654,271126
6,LA,252191,252191,178734,29511,233010,1691,114,1270,236085
7,MO,231856,231856,172930,21099,228181,6906,37,199,235323
8,MS,670211,666588,546410,51239,641767,18825,386,3028,664006
9,NC & VA,591317,590796,211690,58965,570961,39599,3112,2413,616085
10,SC,135420,135152,74117,11504,133914,6442,229,524,141109
11,TN,715352,704434,577690,57306,695623,51630,1442,1810,750505
12,TX,3350784,3237066,889427,307256,2738004,216470,18765,38687,3011926
13,--TOTAL,9075503,8930479,4131431,799696,8287270,522948,35933,59159,8905310
