,Region,2021,2022,2023,2024,2025
0,AL & FL,79288,234374,202511,230916,174038
1,AR,359203,434935,536238,651747,535124
2,AZ & NM,27220,31642,25122,27881,14072
3,CA,60685,51142,19279,37295,39508
4,GA,246932,590434,309934,271912,297689
5,KS & OK,106630,53540,59900,71564,76137
6,LA,119853,290260,203014,235075,155075
7,MO,74079,123462,125034,151448,99336
8,MS,291375,586412,515927,601957,395769
9,NC & VA,210998,314061,163860,142090,147879
10,SC,54607,87949,40918,54227,26081
11,TN,275845,413017,484592,540621,362683
12,TX,2079264,1399110,1267927,1746051,1614205
