,Region,2021,2022,2023,2024,2025
0,AL & FL,690494,868453,756052,716961,607982
1,AR,1225320,1417966,1211777,1667252,1319443
2,AZ & NM,384346,381293,293188,331058,270106
3,CA,276743,323476,203807,285359,304734
4,GA,2813343,3339015,2520143,2487259,2346522
5,KS & OK,823057,447741,390598,502614,744511
6,LA,255930,414079,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1090467,1261230,960462,1201608,892436
9,NC & VA,1013386,1299050,1030805,1139020,976589
10,SC,400328,439935,322300,332589,290123
11,TN,1147924,1467798,1430322,1634876,966045
12,TX,8369124,3508282,3181946,4963839,6231549
