,Region,2021,2022,2023,2024,2025
0,AL & FL,97112,257119,221031,263443,190315
1,AR,396133,463641,550711,718731,583172
2,AZ & NM,29879,33422,25622,29096,16176
3,CA,65534,57907,23079,45748,51526
4,GA,295377,651812,328094,333698,343364
5,KS & OK,124066,58971,64920,90327,87571
6,LA,134455,294812,203753,257194,165262
7,MO,80894,132438,131483,169478,108417
8,MS,328068,617909,530621,656385,431390
9,NC & VA,241786,339782,179424,180767,179821
10,SC,65451,98388,43331,66439,31868
11,TN,311625,434799,509865,612316,397370
12,TX,2232464,1428090,1286814,1839858,1713654
