,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,626436,599839,9246,52924,148955,902,306,1062,151225
1,AR,1340884,1240091,94760,278294,565975,3986,151,1222,571334
2,AZ & NM,276273,271867,101612,30531,159887,7482,1641,1666,170676
3,CA,304939,304939,105632,15319,144806,22902,2798,1066,171572
4,GA,2571118,1798901,26131,279285,518629,19057,3022,2650,543358
5,KS & OK,826764,759959,68226,145552,299362,452,127,239,300180
6,LA,264630,264278,5596,23957,44110,274,94,536,45014
7,MO,320299,320299,48333,44606,128442,437,24,129,129032
8,MS,1010727,699823,38899,170154,407657,1632,380,1286,410955
9,NC & VA,1075517,836142,24386,93588,350632,6002,2481,1891,361006
10,SC,293770,274169,3408,61930,116088,554,164,451,117257
11,TN,1039139,850589,177533,190374,537350,9654,1618,1714,550336
12,TX,6982375,5208086,339804,651653,2086958,73462,15890,30345,2206655
13,--TOTAL,16932871,13428982,1043566,2038167,5508851,146796,28696,44257,5728600
