,Region,2021,2022,2023,2024,2025
0,AL & FL,661503,826555,739553,692647,594718
1,AR,1165177,1285077,1138511,1589143,1256209
2,AZ & NM,303201,277639,246530,248240,205311
3,CA,269730,301090,198817,266689,259275
4,GA,2450844,2987315,2235385,2077955,1926500
5,KS & OK,696905,412747,377342,457187,581498
6,LA,255825,398610,244549,379220,264266
7,MO,314993,395409,375905,384789,320299
8,MS,992041,1250182,930334,1148559,784050
9,NC & VA,951042,1210749,936909,1001370,859607
10,SC,369704,426641,306457,313543,275993
11,TN,1091670,1332548,1284112,1451364,843736
12,TX,7420447,3288234,3032575,4353434,5414939
