,Region,2021,2022,2023,2024,2025
0,AL & FL,908,24825,12467.0,28757.0,21904
1,AR,9416,66417,93382.0,167759.0,98242
2,AZ & NM,6475,12846,8494.0,14558.0,4560
3,CA,303,33,,,1172
4,GA,5761,33720,11688.0,7312.0,42267
5,KS & OK,1830,836,393.0,1210.0,178
6,LA,10898,84107,81120.0,78822.0,52545
7,MO,299,14253,6682.0,24390.0,2922
8,MS,2603,102523,74119.0,166544.0,57355
9,NC & VA,3960,6502,294.0,672.0,972
10,SC,716,4213,331.0,775.0,339
11,TN,1860,27381,43381.0,97432.0,29022
12,TX,870189,1056575,969418.0,1040807.0,915872
