,Region,2021,2022,2023,2024,2025
0,AL & FL,677908,859189,743114,711211,606750
1,AR,1204561,1366846,1159092,1631537,1295086
2,AZ & NM,370474,361581,278715,318886,252254
3,CA,274287,320726,203241,282388,291878
4,GA,2677033,3220748,2414908,2327772,2148602
5,KS & OK,789710,425850,389846,480864,674129
6,LA,255930,413023,244549,379254,264630
7,MO,315831,398195,382134,388113,320299
8,MS,1045087,1255800,937809,1167104,837930
9,NC & VA,976152,1260772,955492,1065205,910239
10,SC,396999,439236,315694,324265,279921
11,TN,1132076,1402638,1372890,1539957,909957
12,TX,8091044,3431571,3087780,4684806,5940240
