,Region,2021,2022,2023,2024,2025
0,AL & FL,518738,679696,637586,607715,522200
1,AR,1038152,1091162,1067042,1320025,1174069
2,AZ & NM,174068,158320,141754,135099,102583
3,CA,216008,238712,158395,192771,185225
4,GA,1606912,2207352,1615945,1415197,1356030
5,KS & OK,452374,284132,298087,322202,354070
6,LA,253940,396727,244245,371231,262085
7,MO,243587,317928,324322,338158,269339
8,MS,895083,1210820,920555,1102998,702423
9,NC & VA,827234,1016659,798545,809210,722902
10,SC,255562,286178,228166,238914,189898
11,TN,964792,1126427,1161448,1300334,764039
12,TX,5519769,2724056,2719815,3493896,3938843
