,Region,2021,2022,2023,2024,2025
0,AL & FL,728509,890296,777548,720843,626436
1,AR,1264921,1490437,1267096,1732392,1348739
2,AZ & NM,390657,394725,301648,337761,277851
3,CA,276933,323517,204697,285457,304939
4,GA,3150616,3571495,2734999,2848009,2598106
5,KS & OK,830571,491640,406675,540974,831650
6,LA,256000,414776,244549,379254,264630
7,MO,315831,398195,382398,388113,320299
8,MS,1184243,1348704,1075915,1389540,1026368
9,NC & VA,1094503,1378156,1136122,1250942,1081728
10,SC,430319,457886,337992,360909,294777
11,TN,1187909,1537896,1591008,1773099,1072840
12,TX,8839793,3712393,3561351,5476895,7190249
