,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,607982,599816,30122,131326,304675,1934,307,1066,307982
1,AR,1319435,1240091,136161,234015,878748,7626,162,1501,888037
2,AZ & NM,269906,269906,112210,70876,221058,16522,1642,1666,240888
3,CA,304734,304734,179486,9048,221872,26273,2924,3335,254404
4,GA,2340431,1798153,41387,652152,1144668,28584,4929,2714,1180895
5,KS & OK,743852,704193,59116,156738,430754,910,139,505,432308
6,LA,264630,264278,16055,43359,111903,362,112,1242,113619
7,MO,320299,320299,48762,72402,209848,844,37,198,210927
8,MS,891556,699796,60628,136729,500594,3218,368,2741,506921
9,NC & VA,973509,834472,28560,182272,502231,11398,2622,1995,518246
10,SC,290123,274018,4859,60680,190541,1441,166,489,192637
11,TN,963898,850535,264070,146653,708906,13829,1424,1770,725929
12,TX,6225106,5197696,520669,807852,3225242,107017,17509,31944,3381712
13,--TOTAL,15515461,13357987,1502085,2704102,8651040,219958,32341,51166,8954505
