,State,Total Issued 2025,Total New Issued 2025,Held by CCC 2025,Under Shipping Order,Open 2025,Open 2024,Open 2023,Open 2022 and earlier,Total Open
0,AL & FL,1270,1270,0,17376,1270,25133,397,1139,27939
1,AR,17127,17127,0,91323,17127,147295,338,1654,166414
2,AZ & NM,700,700,0,14525,700,100416,3062,2121,106299
3,CA,0,0,0,7376,0,71658,3296,3365,78319
4,GA,145,145,0,70654,145,150491,6336,2861,159833
5,KS & OK,0,0,0,259,0,5611,525,834,6970
6,LA,18174,18174,3563,5183,18174,7286,135,1270,26865
7,MO,0,0,0,13005,0,26386,47,208,26641
8,MS,4207,4207,3601,121319,4207,153035,1438,3118,161798
9,NC & VA,1,1,0,108246,0,162145,3533,2458,168136
10,SC,4,0,0,16562,0,31137,331,527,31995
11,TN,34,34,4334,126539,34,251620,1556,2779,255989
12,TX,660611,648405,195747,255574,597479,490078,19758,40319,1147634
13,--TOTAL,702273,690063,207245,847941,639136,1622291,40752,62653,2364832
