,Region,2021,2022,2023,2024,2025
0,AL & FL,142451,317246,283595,314228,233470
1,AR,483183,564918,662780,799230,682107
2,AZ & NM,42375,46503,34837,32384,20004
3,CA,85612,88238,36378,59583,67053
4,GA,420703,859165,496247,440232,442773
5,KS & OK,161109,84349,98140,108569,113301
6,LA,168591,331539,218655,276977,183016
7,MO,105228,163408,159491,191891,131656
8,MS,412685,706340,638068,724137,499482
9,NC & VA,313749,436107,276987,254426,241568
10,SC,89377,120242,72222,85507,43744
11,TN,395726,537673,627575,712699,473601
12,TX,2623750,1554508,1452700,2004817,1957225
